row_idx,date,original_text,n_items,n_matched,n_unmatched,matches
1911,2023-07-13,White Rice + Stew + Kefir White Rice + Stew + Kefir,5,5,0,"[{""item"": ""White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Stew"", ""usda_match"": ""Onions, raw"", ""score"": 0.274, ""portion_g"": 150}, {""item"": ""Kefir White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.744, ""portion_g"": 240}, {""item"": ""Stew"", ""usda_match"": ""Onions, raw"", ""score"": 0.274, ""portion_g"": 150}, {""item"": ""Kefir"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.457, ""portion_g"": 240}]"
1912,2023-07-14,Orange + Kefir Orange + Kefir,3,3,0,"[{""item"": ""Orange"", ""usda_match"": ""Marmalade, orange"", ""score"": 0.424, ""portion_g"": 150.0}, {""item"": ""Kefir Orange"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.424, ""portion_g"": 240}, {""item"": ""Kefir"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.457, ""portion_g"": 240}]"
1913,2023-07-14,"Smoothie(CW, MJ, Bananas, Vanilla Yoghurt) + Wallnuts Smoothie(CW, MJ, Bananas, Vanilla Yoghurt) + Wallnuts",9,9,0,"[{""item"": ""Smoothie"", ""usda_match"": ""Fruit juice smoothie, ODWALLA, strawberry banana"", ""score"": 0.252, ""portion_g"": 150.0}, {""item"": ""CW"", ""usda_match"": ""Fast Foods, Fried Chicken, Wing, meat and skin and breading"", ""score"": 0.623, ""portion_g"": 150.0}, {""item"": ""Bananas"", ""usda_match"": ""Bananas, raw"", ""score"": 0.585, ""portion_g"": 150.0}, {""item"": ""Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""Wallnuts Smoothie"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 0.933, ""portion_g"": 150.0}, {""item"": ""CW"", ""usda_match"": ""Fast Foods, Fried Chicken, Wing, meat and skin and breading"", ""score"": 0.623, ""portion_g"": 150.0}, {""item"": ""Bananas"", ""usda_match"": ""Bananas, raw"", ""score"": 0.585, ""portion_g"": 150.0}, {""item"": ""Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""Wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}]"
1914,2023-07-14,Boiled Eggs + Wallnuts + Smoothie Boiled Eggs + Wallnuts + Smoothie,5,5,0,"[{""item"": ""Boiled Eggs"", ""usda_match"": ""Egg, whole, cooked, hard-boiled"", ""score"": 0.626, ""portion_g"": 100}, {""item"": ""Wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""Smoothie Boiled Eggs"", ""usda_match"": ""Egg, whole, cooked, hard-boiled"", ""score"": 0.565, ""portion_g"": 100}, {""item"": ""Wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""Smoothie"", ""usda_match"": ""Fruit juice smoothie, ODWALLA, strawberry banana"", ""score"": 0.252, ""portion_g"": 150.0}]"
1915,2023-07-15,White Rice + Scrambled Eggs + Stew stired  White Rice + Scrambled Eggs + Stew stired,5,5,0,"[{""item"": ""White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Scrambled Eggs"", ""usda_match"": ""Egg, whole, cooked, scrambled"", ""score"": 0.609, ""portion_g"": 100}, {""item"": ""Stew stired  White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.76, ""portion_g"": 200}, {""item"": ""Scrambled Eggs"", ""usda_match"": ""Egg, whole, cooked, scrambled"", ""score"": 0.609, ""portion_g"": 100}, {""item"": ""Stew stired"", ""usda_match"": ""Onions, raw"", ""score"": 0.274, ""portion_g"": 150}]"
1916,2023-07-15,Cornflakes + Milk Cornflakes + Milk,3,3,0,"[{""item"": ""Cornflakes"", ""usda_match"": ""Cereals ready-to-eat, RALSTON Corn Flakes"", ""score"": 0.417, ""portion_g"": 150.0}, {""item"": ""Milk Cornflakes"", ""usda_match"": ""Cereals ready-to-eat, RALSTON Corn Flakes"", ""score"": 0.4, ""portion_g"": 240}, {""item"": ""Milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}]"
1917,2023-07-15,Fried Chicken legs + CW Fried Chicken legs + CW,3,3,0,"[{""item"": ""Fried Chicken legs"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.354, ""portion_g"": 120}, {""item"": ""CW Fried Chicken legs"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.354, ""portion_g"": 120}, {""item"": ""CW"", ""usda_match"": ""Fast Foods, Fried Chicken, Wing, meat and skin and breading"", ""score"": 0.623, ""portion_g"": 150.0}]"
1918,2023-07-16,"White Rice + Cold(tomatoes, onions, sweet peppers, salt, olive oil) + hot Tetley(1% Milk, Honey) + RCF White Rice + Cold(tomatoes, onions, sweet peppers, salt, olive oil) + hot Tetley(1% Milk, Honey) + RCF",19,19,0,"[{""item"": ""White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Cold"", ""usda_match"": ""Oil, flaxseed, cold pressed"", ""score"": 0.322, ""portion_g"": 150.0}, {""item"": ""tomatoes"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.657, ""portion_g"": 150.0}, {""item"": ""onions"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""sweet peppers"", ""usda_match"": ""Peppers, sweet, green, raw"", ""score"": 0.402, ""portion_g"": 150.0}, {""item"": ""olive oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""hot Tetley"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.749, ""portion_g"": 150.0}, {""item"": ""1% Milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}, {""item"": ""Honey"", ""usda_match"": ""Honey"", ""score"": 1.0, ""portion_g"": 21}, {""item"": ""RCF White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Cold"", ""usda_match"": ""Oil, flaxseed, cold pressed"", ""score"": 0.322, ""portion_g"": 150.0}, {""item"": ""tomatoes"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.657, ""portion_g"": 150.0}, {""item"": ""onions"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""sweet peppers"", ""usda_match"": ""Peppers, sweet, green, raw"", ""score"": 0.402, ""portion_g"": 150.0}, {""item"": ""olive oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""hot Tetley"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.749, ""portion_g"": 150.0}, {""item"": ""1% Milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}, {""item"": ""Honey"", ""usda_match"": ""Honey"", ""score"": 1.0, ""portion_g"": 21}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1919,2023-07-16,"White Rice + Cold(tomatoes, onions, sweet peppers, salt, olive oil, sauteed shrimp) + Watermellon  White Rice + Cold(tomatoes, onions, sweet peppers, salt, olive oil, sauteed shrimp) + Watermellon",15,15,0,"[{""item"": ""White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Cold"", ""usda_match"": ""Oil, flaxseed, cold pressed"", ""score"": 0.322, ""portion_g"": 150.0}, {""item"": ""tomatoes"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.657, ""portion_g"": 150.0}, {""item"": ""onions"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""sweet peppers"", ""usda_match"": ""Peppers, sweet, green, raw"", ""score"": 0.402, ""portion_g"": 150.0}, {""item"": ""olive oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""sauteed shrimp"", ""usda_match"": ""Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)"", ""score"": 0.623, ""portion_g"": 85}, {""item"": ""Watermellon  White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 240}, {""item"": ""Cold"", ""usda_match"": ""Oil, flaxseed, cold pressed"", ""score"": 0.322, ""portion_g"": 150.0}, {""item"": ""tomatoes"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.657, ""portion_g"": 150.0}, {""item"": ""onions"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""sweet peppers"", ""usda_match"": ""Peppers, sweet, green, raw"", ""score"": 0.402, ""portion_g"": 150.0}, {""item"": ""olive oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""sauteed shrimp"", ""usda_match"": ""Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)"", ""score"": 0.623, ""portion_g"": 85}, {""item"": ""Watermellon"", ""usda_match"": ""Pears, raw"", ""score"": 0.255, ""portion_g"": 240}]"
1920,2023-07-17,"Trade Jones Brioche + Duck Egg Omellete(Sardines, pepper, salt, minced garlic, cumin, poultry seasoning) + Left over ovaltin(1% mlk) + RCF Trade Jones Brioche + Duck Egg Omellete(Sardines, pepper, salt, minced garlic, cumin, poultry seasoning) + Left",17,17,0,"[{""item"": ""Trade Jones Brioche"", ""usda_match"": ""Bread, egg"", ""score"": 0.734, ""portion_g"": 60}, {""item"": ""Duck Egg Omellete"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.748, ""portion_g"": 50}, {""item"": ""Sardines"", ""usda_match"": ""Fish, sardine, Atlantic, canned in oil, drained solids with bone"", ""score"": 0.763, ""portion_g"": 85}, {""item"": ""minced garlic"", ""usda_match"": ""Garlic, raw"", ""score"": 0.833, ""portion_g"": 150.0}, {""item"": ""cumin"", ""usda_match"": ""Spices, cumin seed"", ""score"": 0.452, ""portion_g"": 150.0}, {""item"": ""poultry seasoning"", ""usda_match"": ""Spices, poultry seasoning"", ""score"": 0.691, ""portion_g"": 150.0}, {""item"": ""Left over ovaltin"", ""usda_match"": ""Beverages, Cocoa mix, powder"", ""score"": 0.702, ""portion_g"": 150.0}, {""item"": ""1% mlk"", ""usda_match"": ""Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"", ""score"": 0.349, ""portion_g"": 150.0}, {""item"": ""RCF Trade Jones Brioche"", ""usda_match"": ""Bread, egg"", ""score"": 0.734, ""portion_g"": 60}, {""item"": ""Duck Egg Omellete"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.748, ""portion_g"": 50}, {""item"": ""Sardines"", ""usda_match"": ""Fish, sardine, Atlantic, canned in oil, drained solids with bone"", ""score"": 0.763, ""portion_g"": 85}, {""item"": ""minced garlic"", ""usda_match"": ""Garlic, raw"", ""score"": 0.833, ""portion_g"": 150.0}, {""item"": ""cumin"", ""usda_match"": ""Spices, cumin seed"", ""score"": 0.452, ""portion_g"": 150.0}, {""item"": ""poultry seasoning"", ""usda_match"": ""Spices, poultry seasoning"", ""score"": 0.691, ""portion_g"": 150.0}, {""item"": ""Left over ovaltin"", ""usda_match"": ""Beverages, Cocoa mix, powder"", ""score"": 0.702, ""portion_g"": 150.0}, {""item"": ""1% mlk"", ""usda_match"": ""Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"", ""score"": 0.349, ""portion_g"": 150.0}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1921,2023-07-17,Fried Chicken + Watermelon Juice(lime) + RCF Fried Chicken + Watermelon Juice(lime) + RCF,7,7,0,"[{""item"": ""Fried Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.373, ""portion_g"": 120}, {""item"": ""Watermelon Juice"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.672, ""portion_g"": 240}, {""item"": ""lime"", ""usda_match"": ""Lime juice, raw"", ""score"": 0.433, ""portion_g"": 150.0}, {""item"": ""RCF Fried Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.373, ""portion_g"": 120}, {""item"": ""Watermelon Juice"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.672, ""portion_g"": 240}, {""item"": ""lime"", ""usda_match"": ""Lime juice, raw"", ""score"": 0.433, ""portion_g"": 150.0}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1922,2023-07-18,"Eba + Ogbonor Soup(Snals, CF, GM, Mk) + VY + RCF Eba + Ogbonor Soup(Snals, CF, GM, Mk) + VY + RCF",9,9,0,"[{""item"": ""Eba"", ""usda_match"": ""Cassava, raw"", ""score"": 0.419, ""portion_g"": 250}, {""item"": ""Ogbonor Soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""Snals"", ""usda_match"": ""Mollusks, snail, raw"", ""score"": 0.675, ""portion_g"": 150.0}, {""item"": ""VY"", ""usda_match"": ""Yogurt, vanilla, low fat."", ""score"": 0.39, ""portion_g"": 150.0}, {""item"": ""RCF Eba"", ""usda_match"": ""Cassava, raw"", ""score"": 0.419, ""portion_g"": 250}, {""item"": ""Ogbonor Soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""Snals"", ""usda_match"": ""Mollusks, snail, raw"", ""score"": 0.675, ""portion_g"": 150.0}, {""item"": ""VY"", ""usda_match"": ""Yogurt, vanilla, low fat."", ""score"": 0.39, ""portion_g"": 150.0}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1923,2023-07-18,Kefir Kefir,1,1,0,"[{""item"": ""Kefir Kefir"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.6, ""portion_g"": 240}]"
1924,2023-07-18,Cashew + Wallnuts + CW Cashew + Wallnuts + CW,5,5,0,"[{""item"": ""Cashew"", ""usda_match"": ""Nuts, cashew nuts, raw"", ""score"": 0.342, ""portion_g"": 30}, {""item"": ""Wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""CW Cashew"", ""usda_match"": ""Fast Foods, Fried Chicken, Wing, meat and skin and breading"", ""score"": 0.582, ""portion_g"": 30}, {""item"": ""Wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""CW"", ""usda_match"": ""Fast Foods, Fried Chicken, Wing, meat and skin and breading"", ""score"": 0.623, ""portion_g"": 150.0}]"
1925,2023-07-18,Smoothie Smoothie,1,1,0,"[{""item"": ""Smoothie Smoothie"", ""usda_match"": ""Fruit juice smoothie, ODWALLA, strawberry banana"", ""score"": 0.252, ""portion_g"": 150.0}]"
1926,2023-07-19,Kefir + RCF Kefir + RCF,3,3,0,"[{""item"": ""Kefir"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.457, ""portion_g"": 240}, {""item"": ""RCF Kefir"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.457, ""portion_g"": 240}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1927,2023-07-20,"ogbonor soup(snails, cf) + RCF ogbonor soup(snails, cf) + RCF",5,5,0,"[{""item"": ""ogbonor soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""snails"", ""usda_match"": ""Mollusks, snail, raw"", ""score"": 0.675, ""portion_g"": 150.0}, {""item"": ""RCF ogbonor soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""snails"", ""usda_match"": ""Mollusks, snail, raw"", ""score"": 0.675, ""portion_g"": 150.0}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1928,2023-07-20,Vanilla Yoghurt + RCF Vanilla Yoghurt + RCF,3,3,0,"[{""item"": ""Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""RCF Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1929,2023-07-20,Panera Fontega Chicken + Hospital Cookies + Hosptal Juice + RCF Panera Fontega Chicken + Hospital Cookies + Hosptal Juice + RCF,7,7,0,"[{""item"": ""Panera Fontega Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Hospital Cookies"", ""usda_match"": ""Cookies, oatmeal, commercially prepared, regular"", ""score"": 0.857, ""portion_g"": 150.0}, {""item"": ""Hosptal Juice"", ""usda_match"": ""Babyfood, juice, apple"", ""score"": 0.306, ""portion_g"": 240}, {""item"": ""RCF Panera Fontega Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Hospital Cookies"", ""usda_match"": ""Cookies, oatmeal, commercially prepared, regular"", ""score"": 0.857, ""portion_g"": 150.0}, {""item"": ""Hosptal Juice"", ""usda_match"": ""Babyfood, juice, apple"", ""score"": 0.306, ""portion_g"": 240}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1930,2023-07-21,Eba + Ogbonor Soup Eba + Ogbonor Soup,3,3,0,"[{""item"": ""Eba"", ""usda_match"": ""Cassava, raw"", ""score"": 0.419, ""portion_g"": 250}, {""item"": ""Ogbonor Soup Eba"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""Ogbonor Soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}]"
1931,2023-07-21,Yam + Vanilla Yoghurt + Exeter Cornbeef + RCF Yam + Vanilla Yoghurt + Exeter Cornbeef + RCF,7,7,0,"[{""item"": ""Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""Exeter Cornbeef"", ""usda_match"": ""Beef, cured, corned beef, brisket, cooked"", ""score"": 1.0, ""portion_g"": 120}, {""item"": ""RCF Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Vanilla Yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.968, ""portion_g"": 170}, {""item"": ""Exeter Cornbeef"", ""usda_match"": ""Beef, cured, corned beef, brisket, cooked"", ""score"": 1.0, ""portion_g"": 120}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1932,2023-07-22,Yam + Ogbonor + Cashew nuts + wallnuts Yam + Ogbonor + Cashew nuts + wallnuts,7,7,0,"[{""item"": ""Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Ogbonor"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.279, ""portion_g"": 200}, {""item"": ""Cashew nuts"", ""usda_match"": ""Nuts, cashew nuts, dry roasted, with salt added"", ""score"": 0.561, ""portion_g"": 30}, {""item"": ""wallnuts Yam"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 0.926, ""portion_g"": 200}, {""item"": ""Ogbonor"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.279, ""portion_g"": 200}, {""item"": ""Cashew nuts"", ""usda_match"": ""Nuts, cashew nuts, dry roasted, with salt added"", ""score"": 0.561, ""portion_g"": 30}, {""item"": ""wallnuts"", ""usda_match"": ""Nuts, walnuts, english"", ""score"": 1.0, ""portion_g"": 150.0}]"
1933,2023-07-22,"Garri(Sugar) + Fish(Mackerel, Cat) + Chicken + Cashew Nuts Garri(Sugar) + Fish(Mackerel, Cat) + Chicken + Cashew Nuts",11,11,0,"[{""item"": ""Garri"", ""usda_match"": ""Cassava, raw"", ""score"": 0.348, ""portion_g"": 50}, {""item"": ""Sugar"", ""usda_match"": ""Sugar, turbinado"", ""score"": 0.384, ""portion_g"": 150.0}, {""item"": ""Fish"", ""usda_match"": ""Fish, whitefish, mixed species, cooked, dry heat"", ""score"": 0.741, ""portion_g"": 120}, {""item"": ""Mackerel"", ""usda_match"": ""Fish, mackerel, Atlantic, cooked, dry heat"", ""score"": 1.0, ""portion_g"": 150}, {""item"": ""Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Cashew Nuts Garri"", ""usda_match"": ""Nuts, cashew nuts, dry roasted, with salt added"", ""score"": 0.561, ""portion_g"": 30}, {""item"": ""Sugar"", ""usda_match"": ""Sugar, turbinado"", ""score"": 0.384, ""portion_g"": 150.0}, {""item"": ""Fish"", ""usda_match"": ""Fish, whitefish, mixed species, cooked, dry heat"", ""score"": 0.741, ""portion_g"": 120}, {""item"": ""Mackerel"", ""usda_match"": ""Fish, mackerel, Atlantic, cooked, dry heat"", ""score"": 1.0, ""portion_g"": 150}, {""item"": ""Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Cashew Nuts"", ""usda_match"": ""Nuts, cashew nuts, dry roasted, with salt added"", ""score"": 0.561, ""portion_g"": 30}]"
1934,2023-07-23,"Yam + Eggs(Salt, Cornbeef, Butter, Olive Oil) + RCF Yam + Eggs(Salt, Cornbeef, Butter, Olive Oil) + RCF",11,11,0,"[{""item"": ""Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Eggs"", ""usda_match"": ""Egg, whole, cooked, fried"", ""score"": 0.785, ""portion_g"": 100}, {""item"": ""Cornbeef"", ""usda_match"": ""Beef, cured, corned beef, brisket, cooked"", ""score"": 1.0, ""portion_g"": 120}, {""item"": ""Butter"", ""usda_match"": ""Pretzels, soft, unsalted"", ""score"": 0.277, ""portion_g"": 14}, {""item"": ""Olive Oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""RCF Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Eggs"", ""usda_match"": ""Egg, whole, cooked, fried"", ""score"": 0.785, ""portion_g"": 100}, {""item"": ""Cornbeef"", ""usda_match"": ""Beef, cured, corned beef, brisket, cooked"", ""score"": 1.0, ""portion_g"": 120}, {""item"": ""Butter"", ""usda_match"": ""Pretzels, soft, unsalted"", ""score"": 0.277, ""portion_g"": 14}, {""item"": ""Olive Oil"", ""usda_match"": ""Oil, olive, salad or cooking"", ""score"": 0.778, ""portion_g"": 15}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1935,2023-07-23,Semovita + Ogbonor + RCF Semovita + Ogbonor + RCF,5,5,0,"[{""item"": ""Semovita"", ""usda_match"": ""Semolina, enriched"", ""score"": 0.375, ""portion_g"": 250}, {""item"": ""Ogbonor"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.279, ""portion_g"": 200}, {""item"": ""RCF Semovita"", ""usda_match"": ""Semolina, enriched"", ""score"": 0.375, ""portion_g"": 250}, {""item"": ""Ogbonor"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.279, ""portion_g"": 200}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
1936,2023-07-24,Yam + Ogbonor Soup Yam + Ogbonor Soup,3,3,0,"[{""item"": ""Yam"", ""usda_match"": ""Yam, cooked, boiled, drained, or baked, with salt"", ""score"": 0.599, ""portion_g"": 200}, {""item"": ""Ogbonor Soup Yam"", ""usda_match"": ""Oil, palm"", ""score"": 0.307, ""portion_g"": 200}, {""item"": ""Ogbonor Soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}]"
1937,2023-07-24,WFM Pizza(sausages) + Grilled Chicken Wings(WFM) + Lemobade + RCF WFM Pizza(sausages) + Grilled Chicken Wings(WFM) + Lemobade + RCF,9,9,0,"[{""item"": ""WFM Pizza"", ""usda_match"": ""Pizza, cheese topping, regular crust, frozen, cooked"", ""score"": 0.438, ""portion_g"": 150.0}, {""item"": ""sausages"", ""usda_match"": ""Bratwurst, pork, cooked"", ""score"": 0.423, ""portion_g"": 150.0}, {""item"": ""Grilled Chicken Wings"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Lemobade"", ""usda_match"": ""Lemonade, powder, prepared with water"", ""score"": 0.384, ""portion_g"": 150.0}, {""item"": ""RCF WFM Pizza"", ""usda_match"": ""Pizza, cheese topping, regular crust, frozen, cooked"", ""score"": 0.438, ""portion_g"": 30}, {""item"": ""sausages"", ""usda_match"": ""Bratwurst, pork, cooked"", ""score"": 0.423, ""portion_g"": 150.0}, {""item"": ""Grilled Chicken Wings"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Lemobade"", ""usda_match"": ""Lemonade, powder, prepared with water"", ""score"": 0.384, ""portion_g"": 150.0}, {""item"": ""RCF"", ""usda_match"": ""Cornmeal, whole-grain, yellow"", ""score"": 1.0, ""portion_g"": 30}]"
